Country,Capital,Continent,Population,Rank
South Georgia,King Edward Point,Antarctic,30,248
Grenada,St. George's,Americas,112519,195
Switzerland,Bern,Europe,8654622,100
Sierra Leone,Freetown,Africa,7976985,102
Hungary,Budapest,Europe,9749763,94
Taiwan,Taipei,Asia,23503349,57
Wallis and Futuna,Mata-Utu,Oceania,11750,230
Barbados,Bridgetown,Americas,287371,183
Pitcairn Islands,Adamstown,Oceania,56,247
Ivory Coast,Yamoussoukro,Africa,26378275,53
Tunisia,Tunis,Africa,11818618,79
Italy,Rome,Europe,59554023,24
Benin,Porto-Novo,Africa,12123198,77
Indonesia,Jakarta,Asia,273523621,4
Cape Verde,Praia,Africa,555988,172
Saint Kitts and Nevis,Basseterre,Americas,53192,213
Laos,Vientiane,Asia,7275556,104
Caribbean Netherlands,Kralendijk,Americas,25987,225
Uganda,Kampala,Africa,45741000,31
Andorra,Andorra la Vella,Europe,77265,204
Burundi,Gitega,Africa,11890781,78
South Africa,Pretoria,Africa,59308690,25
France,Paris,Europe,67391582,21
Libya,Tripoli,Africa,6871287,108
Mexico,Mexico City,Americas,128932753,10
Gabon,Libreville,Africa,2225728,146
Northern Mariana Islands,Saipan,Oceania,57557,210
North Macedonia,Skopje,Europe,2077132,149
China,Beijing,Asia,1402112000,1
Yemen,Sana'a,Asia,29825968,48
Saint Barthélemy,Gustavia,Americas,4255,234
Guernsey,St. Peter Port,Europe,62999,208
Solomon Islands,Honiara,Oceania,686878,167
Svalbard and Jan Mayen,Longyearbyen,Europe,2562,237
Faroe Islands,Tórshavn,Europe,48865,215
Uzbekistan,Tashkent,Asia,34232050,42
Egypt,Cairo,Africa,102334403,15
Senegal,Dakar,Africa,16743930,69
Sri Lanka,Sri Jayawardenepura Kotte,Asia,21919000,58
Palestine,Ramallah,Asia,4803269,127
Bangladesh,Dhaka,Asia,164689383,8
Peru,Lima,Americas,32971846,43
Singapore,Singapore,Asia,5685807,115
Turkey,Ankara,Asia,84339067,17
Afghanistan,Kabul,Asia,40218234,37
Aruba,Oranjestad,Americas,106766,197
Cook Islands,Avarua,Oceania,18100,226
United Kingdom,London,Europe,67215293,22
Zambia,Lusaka,Africa,18383956,65
Finland,Helsinki,Europe,5530719,117
Niger,Niamey,Africa,24206636,56
Christmas Island,Flying Fish Cove,Oceania,2072,239
Tokelau,Fakaofo,Oceania,1411,241
Guinea-Bissau,Bissau,Africa,1967998,150
Azerbaijan,Baku,Asia,10110116,91
Réunion,Saint-Denis,Africa,840974,164
Djibouti,Djibouti,Africa,988002,161
North Korea,Pyongyang,Asia,25778815,54
Mauritius,Port Louis,Africa,1265740,158
Montserrat,Plymouth,Americas,4922,233
United States Virgin Islands,Charlotte Amalie,Americas,106290,198
Colombia,Bogotá,Americas,50882884,29
Greece,Athens,Europe,10715549,86
Croatia,Zagreb,Europe,4047200,131
Morocco,Rabat,Africa,36910558,40
Algeria,Algiers,Africa,44700000,33
Antarctica,,Antarctic,1000,242
Netherlands,Amsterdam,Europe,16655799,71
Sudan,Khartoum,Africa,43849269,35
Fiji,Suva,Oceania,896444,162
Liechtenstein,Vaduz,Europe,38137,220
Nepal,Kathmandu,Asia,29136808,49
Puerto Rico,San Juan,Americas,3194034,136
Georgia,Tbilisi,Asia,3714000,132
Pakistan,Islamabad,Asia,220892331,5
Monaco,Monaco,Europe,39244,217
Botswana,Gaborone,Africa,2351625,145
Lebanon,Beirut,Asia,6825442,109
Papua New Guinea,Port Moresby,Oceania,8947027,98
Mayotte,Mamoudzou,Africa,226915,187
Dominican Republic,Santo Domingo,Americas,10847904,85
Norfolk Island,Kingston,Oceania,2302,238
Bouvet Island,,Antarctic,0,249
Qatar,Doha,Asia,2881060,139
Madagascar,Antananarivo,Africa,27691019,51
India,New Delhi,Asia,1380004385,2
Syria,Damascus,Asia,17500657,67
Montenegro,Podgorica,Europe,621718,170
Eswatini,Mbabane,Africa,1160164,160
Paraguay,Asunción,Americas,7132530,105
El Salvador,San Salvador,Americas,6486201,112
Ukraine,Kyiv,Europe,44134693,34
Isle of Man,Douglas,Europe,85032,203
Namibia,Windhoek,Africa,2540916,143
United Arab Emirates,Abu Dhabi,Asia,9890400,93
Bulgaria,Sofia,Europe,6927288,106
Greenland,Nuuk,Americas,56367,211
Germany,Berlin,Europe,83240525,19
Cambodia,Phnom Penh,Asia,16718971,70
Iraq,Baghdad,Asia,40222503,36
French Southern and Antarctic Lands,Port-aux-Français,Antarctic,400,245
Sweden,Stockholm,Europe,10353442,88
Cuba,Havana,Americas,11326616,83
Kyrgyzstan,Bishkek,Asia,6591600,111
Russia,Moscow,Europe,144104080,9
Malaysia,Kuala Lumpur,Asia,32365998,45
São Tomé and Príncipe,São Tomé,Africa,219161,188
Cyprus,Nicosia,Europe,1207361,159
Canada,Ottawa,Americas,38005238,38
Malawi,Lilongwe,Africa,19129955,62
Saudi Arabia,Riyadh,Asia,34813867,41
Bosnia and Herzegovina,Sarajevo,Europe,3280815,134
Ethiopia,Addis Ababa,Africa,114963583,12
Spain,Madrid,Europe,47351567,30
Slovenia,Ljubljana,Europe,2100126,148
Oman,Muscat,Asia,5106622,121
Saint Pierre and Miquelon,Saint-Pierre,Americas,6069,232
Macau,,Asia,649342,168
San Marino,City of San Marino,Europe,33938,221
Lesotho,Maseru,Africa,2142252,147
Marshall Islands,Majuro,Oceania,59194,209
Sint Maarten,Philipsburg,Americas,40812,216
Iceland,Reykjavik,Europe,366425,181
Luxembourg,Luxembourg,Europe,632275,169
Argentina,Buenos Aires,Americas,45376763,32
Turks and Caicos Islands,Cockburn Town,Americas,38718,218
Nauru,Yaren,Oceania,10834,231
Cocos (Keeling) Islands,West Island,Oceania,544,243
Western Sahara,El Aaiún,Africa,510713,175
Dominica,Roseau,Americas,71991,205
Costa Rica,San José,Americas,5094114,122
Australia,Canberra,Oceania,25687041,55
Thailand,Bangkok,Asia,69799978,20
Haiti,Port-au-Prince,Americas,11402533,82
Tuvalu,Funafuti,Oceania,11792,229
Honduras,Tegucigalpa,Americas,9904608,92
Equatorial Guinea,Malabo,Africa,1402985,154
Saint Lucia,Castries,Americas,183629,190
French Polynesia,Papeetē,Oceania,280904,184
Belarus,Minsk,Europe,9398861,96
Latvia,Riga,Europe,1901548,151
Palau,Ngerulmud,Oceania,18092,227
Guadeloupe,Basse-Terre,Americas,400132,177
Philippines,Manila,Asia,109581085,13
Gibraltar,Gibraltar,Europe,33691,222
Denmark,Copenhagen,Europe,5831404,114
Cameroon,Yaoundé,Africa,26545864,52
Guinea,Conakry,Africa,13132792,75
Bahrain,Manama,Asia,1701583,153
Suriname,Paramaribo,Americas,586634,171
DR Congo,Kinshasa,Africa,108407721,14
Somalia,Mogadishu,Africa,15893219,73
Czechia,Prague,Europe,10698896,87
New Caledonia,Nouméa,Oceania,271960,185
Vanuatu,Port Vila,Oceania,307150,182
"Saint Helena, Ascension and Tristan da Cunha",Jamestown,Africa,53192,213
Togo,Lomé,Africa,8278737,101
British Virgin Islands,Road Town,Americas,30237,223
Kenya,Nairobi,Africa,53771300,27
Niue,Alofi,Oceania,1470,240
Heard Island and McDonald Islands,,Antarctic,0,249
Rwanda,Kigali,Africa,12952209,76
Estonia,Tallinn,Europe,1331057,156
Romania,Bucharest,Europe,19286123,61
Trinidad and Tobago,Port of Spain,Americas,1399491,155
Guyana,Georgetown,Americas,786559,165
Timor-Leste,Dili,Asia,1318442,157
Vietnam,Hanoi,Asia,97338583,16
Uruguay,Montevideo,Americas,3473727,133
Vatican City,Vatican City,Europe,451,244
Hong Kong,City of Victoria,Asia,7500700,103
Austria,Vienna,Europe,8917205,99
Antigua and Barbuda,Saint John's,Americas,97928,202
Turkmenistan,Ashgabat,Asia,6031187,113
Mozambique,Maputo,Africa,31255435,46
Panama,Panama City,Americas,4314768,129
Micronesia,Palikir,Oceania,115021,194
Ireland,Dublin,Europe,4994724,125
Curaçao,Willemstad,Americas,155014,192
French Guiana,Cayenne,Americas,254541,186
Norway,Oslo,Europe,5379475,119
Åland Islands,Mariehamn,Europe,29458,224
Central African Republic,Bangui,Africa,4829764,126
Burkina Faso,Ouagadougou,Africa,20903278,59
Eritrea,Asmara,Africa,5352000,120
Tanzania,Dodoma,Africa,59734213,23
South Korea,Seoul,Asia,51780579,28
Jordan,Amman,Asia,10203140,90
Mauritania,Nouakchott,Africa,4649660,128
Lithuania,Vilnius,Europe,2794700,141
United States Minor Outlying Islands,Washington DC,Americas,300,246
Slovakia,Bratislava,Europe,5458827,118
Angola,Luanda,Africa,32866268,44
Kazakhstan,Nur-Sultan,Asia,18754440,64
Moldova,Chișinău,Europe,2617820,142
Mali,Bamako,Africa,20250834,60
Falkland Islands,Stanley,Americas,2563,236
Armenia,Yerevan,Asia,2963234,137
Samoa,Apia,Oceania,198410,189
Jersey,Saint Helier,Europe,100800,200
Japan,Tokyo,Asia,125836021,11
Bolivia,Sucre,Americas,11673029,80
Chile,Santiago,Americas,19116209,63
United States,"Washington, D.C.",Americas,329484123,3
Saint Vincent and the Grenadines,Kingstown,Americas,110947,196
Bermuda,Hamilton,Americas,63903,207
Seychelles,Victoria,Africa,98462,201
British Indian Ocean Territory,Diego Garcia,Africa,3000,235
Guatemala,Guatemala City,Americas,16858333,68
Ecuador,Quito,Americas,17643060,66
Martinique,Fort-de-France,Americas,378243,180
Tajikistan,Dushanbe,Asia,9537642,95
Malta,Valletta,Europe,525285,174
Gambia,Banjul,Africa,2416664,144
Nigeria,Abuja,Africa,206139587,7
Bahamas,Nassau,Americas,393248,179
Kosovo,Pristina,Europe,1775378,152
Kuwait,Kuwait City,Asia,4270563,130
Maldives,Malé,Asia,540542,173
South Sudan,Juba,Africa,11193729,84
Iran,Tehran,Asia,83992953,18
Albania,Tirana,Europe,2837743,140
Brazil,Brasília,Americas,212559409,6
Serbia,Belgrade,Europe,6908224,107
Belize,Belmopan,Americas,397621,178
Myanmar,Naypyidaw,Asia,54409794,26
Bhutan,Thimphu,Asia,771612,166
Venezuela,Caracas,Americas,28435943,50
Liberia,Monrovia,Africa,5057677,124
Jamaica,Kingston,Americas,2961161,138
Poland,Warsaw,Europe,37950802,39
Cayman Islands,George Town,Americas,65720,206
Brunei,Bandar Seri Begawan,Asia,437483,176
Comoros,Moroni,Africa,869595,163
Guam,Hagåtña,Oceania,168783,191
Tonga,Nuku'alofa,Oceania,105697,199
Kiribati,South Tarawa,Oceania,119446,193
Ghana,Accra,Africa,31072945,47
Chad,N'Djamena,Africa,16425859,72
Zimbabwe,Harare,Africa,14862927,74
Saint Martin,Marigot,Americas,38659,219
Mongolia,Ulan Bator,Asia,3278292,135
Portugal,Lisbon,Europe,10305564,89
American Samoa,Pago Pago,Oceania,55197,212
Republic of the Congo,Brazzaville,Africa,5657000,116
Belgium,Brussels,Europe,11555997,81
Israel,Jerusalem,Asia,9216900,97
New Zealand,Wellington,Oceania,5084300,123
Nicaragua,Managua,Americas,6624554,110
Anguilla,The Valley,Americas,13452,228
